group,english,turkish,notes
Representing text as vectors,singular value decomposition (SVD),tekil değer ayrışımı ◆,*truncated SVD* → kesik SVD
Representing text as vectors,skip-gram / CBOW,skip-gram / CBOW ◆,take Turkish suffixes: *skip-gram'ın*
Representing text as vectors,sparse matrix / sparsity,seyrek matris / seyreklik,
Representing text as vectors,static vs. contextual embedding,statik / bağlamsal gömme,the axis chapter 3 ends on
Representing text as vectors,subsampling,altörnekleme,word2vec's frequent-word thinning; not *alt örnekleme*
Representing text as vectors,term frequency (tf),terim frekansı,
Representing text as vectors,TF-IDF,TF-IDF ◆,never translated
Models and architecture,attention,dikkat (mekanizması),
Models and architecture,base model,temel model,"what pretraining produces: continues text, does not yet answer"
Models and architecture,causal mask,nedensel maske,"blocks every position from attending to later ones, so the model can be trained to generate left to right"
Models and architecture,context window,bağlam penceresi,
Models and architecture,feed-forward network (FFN),ileri beslemeli ağ,the per-token sublayer of a transformer block; two thirds of the parameters
Models and architecture,KV cache,KV önbelleği ◆,"stored keys and values from earlier tokens, so generation does not recompute them"
Models and architecture,language model,dil modeli,
Models and architecture,large language model (LLM),büyük dil modeli (BDM),◆ *LLM* dominant
Models and architecture,layer normalization,katman normalizasyonu,rescales one token's own features; not computed across the batch
Models and architecture,mixture of experts (MoE),uzman karışımı ◆,*MoE* dominant; memory follows total parameters and latency follows active ones
Models and architecture,multi-head attention,çok başlı dikkat,several attention patterns computed in parallel for the price of one
Models and architecture,open-weights model,açık ağırlıklı model,"weights downloadable; training data, code and licence are separate questions"
Models and architecture,positional encoding,konumsal kodlama,"the position signal added to (or applied to) token embeddings, because attention alone is order-blind"
Models and architecture,residual connection,artık bağlantı,*atlama bağlantısı* also seen; the shortcut that lets a sublayer learn a correction rather than a replacement
Models and architecture,self-attention,öz-dikkat,
Models and architecture,transformer,dönüştürücü ◆,usually left as *Transformer*
"Modelling, training, and statistics",ablation,ablasyon ◆,remove one component to measure what it was contributing
"Modelling, training, and statistics",adapter,adaptör,a small trainable module added to a frozen model; LoRA is the form that won
"Modelling, training, and statistics",alignment,hizalama,"making a model behave the way people asked for, rather than the way its training text happened to"
"Modelling, training, and statistics",annealing,tavlama,"decaying the learning rate to zero at the end of a run, usually on better data"
"Modelling, training, and statistics",baseline,taban model,the simple model a complex one has to beat to be worth its cost
"Modelling, training, and statistics",catastrophic forgetting,yıkıcı unutma,"*felaket unutması* also seen; training on a new task degrades tasks the model already handled, because the same weights held both"
"Modelling, training, and statistics",continued pretraining,sürdürülen ön eğitim,"more of the pretraining objective on new text; adds knowledge and vocabulary, not the ability to follow an instruction"
"Modelling, training, and statistics",cross-validation,çapraz doğrulama,"rotate which slice is held out, then average the scores"
"Modelling, training, and statistics",curse of dimensionality,boyut laneti,
"Modelling, training, and statistics",design matrix,tasarım matrisi,the document-term matrix is one
"Modelling, training, and statistics",direct preference optimization (DPO),doğrudan tercih optimizasyonu ◆,"*DPO* dominant; trains on preference pairs directly, with no reward model and no reinforcement-learning loop"
"Modelling, training, and statistics",epoch,devir ◆,one full pass over the training data; *epok* also seen
"Modelling, training, and statistics",feature,değişken,"*öznitelik* also seen, e.g. *feature hashing* → öznitelik özetleme"
"Modelling, training, and statistics",fine-tuning,ince ayar,
"Modelling, training, and statistics",gradient descent,gradyan inişi,
"Modelling, training, and statistics",HDBSCAN,HDBSCAN ◆,finds clusters as regions denser than their surroundings and labels the rest noise; needs no k
"Modelling, training, and statistics",hyperparameter,hiperparametre,"a setting you choose rather than learn; tune on dev, never on test"
"Modelling, training, and statistics",isotonic regression,izotonik regresyon,a non-parametric monotone calibration map fitted by pair-adjacent violators; needs roughly a thousand held-out points
"Modelling, training, and statistics",k-means,k-ortalamalar,"partitions points into k groups around their centres; assumes spherical, similarly sized clusters and assigns every point"
"Modelling, training, and statistics",knowledge distillation,bilgi damıtma,"training a small model on a large one's outputs; it can inherit fluency, but not correctness the large model never had"
"Modelling, training, and statistics",LoRA (low-rank adaptation),düşük ranklı uyarlama ◆,*LoRA* dominant; freezes the pretrained weights and trains a small pair of matrices beside them
"Modelling, training, and statistics",loss function,kayıp fonksiyonu,
"Modelling, training, and statistics",overfitting,aşırı öğrenme / aşırı uyum,
"Modelling, training, and statistics",oversampling / undersampling,aşırı örnekleme / eksik örnekleme,"duplicating minority rows, or discarding majority rows, to force a training set into balance"
"Modelling, training, and statistics",parameter-efficient fine-tuning (PEFT),parametre-verimli ince ayar,"the family LoRA belongs to: train a small fraction of the weights, leave the rest frozen"
"Modelling, training, and statistics",Platt scaling,Platt ölçeklemesi ◆,fits a two-parameter sigmoid to a model's raw scores on held-out data; the small-sample calibration default
"Modelling, training, and statistics",preference pair,tercih çifti,"one prompt, two answers, and a judgement of which is better; easier to collect than a correct answer"
"Modelling, training, and statistics",pretraining,ön eğitim,
"Modelling, training, and statistics",regularization,düzenlileştirme,
"Modelling, training, and statistics",reinforcement learning from human feedback (RLHF),insan geri bildiriminden pekiştirmeli öğrenme ◆,*RLHF* dominant; fits a reward model to human comparisons and then optimizes against it
"Modelling, training, and statistics",reward model,ödül modeli,"a model trained to score answers, standing in for the people whose judgements it was fit to"
"Modelling, training, and statistics",silhouette,siluet ◆,"how much closer a point is to its own cluster than to the next-nearest, on a scale from -1 to 1"
"Modelling, training, and statistics",supervised fine-tuning (SFT),denetimli ince ayar,"one prompt, one target answer, ordinary next-token loss; the stage that turns a base model into one that answers"
"Modelling, training, and statistics",temperature scaling,sıcaklık ölçeklemesi,divides the logits by one fitted constant; softens confidence without ever changing the ranking
"Modelling, training, and statistics",verifiable reward,doğrulanabilir ödül,a training signal computed by checking the answer automatically rather than asking a human; only available where correctness is cheap to check
"Modelling, training, and statistics",verifier,doğrulayıcı,"a model trained to score candidate solutions rather than produce them; outcome-supervised ones judge the final answer, process-supervised ones judge each step"
Language modelling,backoff,geri çekilme,"when a long context has no counts, fall back to a shorter one"
Language modelling,chain rule (of probability),zincir kuralı,"rewrites the probability of a sentence as a product of next-word probabilities; exact, not an approximation"
Language modelling,held-out data,ayrılmış veri,text the model never trained on; the only honest place to measure
Language modelling,interpolation,interpolasyon,mix estimates from several context lengths using fitted weights
Language modelling,Markov assumption,Markov varsayımı,"only the last n−1 words matter; false, but it makes counting possible"
Language modelling,maximum likelihood estimation (MLE),en çok olabilirlik kestirimi,the raw count ratio; gives probability zero to anything unseen
Language modelling,perplexity,perplexity ◆,how many words the model is effectively choosing between at each step
Language modelling,smoothing,düzleştirme,move probability mass onto unseen events so nothing is impossible
Prompting and generation,chain-of-thought,düşünce zinciri,
Prompting and generation,chat template,sohbet şablonu,the special tokens that mark who is speaking; fine-tuning with the wrong one trains a format the server will never send
Prompting and generation,faithfulness,sadakat,how well a model's stated reasoning matches the process that actually produced its answer; separate from whether either is correct
Prompting and generation,hallucination,halüsinasyon / uydurma,
Prompting and generation,in-context learning,bağlam içi öğrenme,learning a task from examples placed in the prompt; no weight is updated and nothing survives the call
Prompting and generation,instruction tuning,yönerge ile ince ayar,*talimat ayarı* also seen; fine-tuning on instruction-and-answer pairs so the model answers requests instead of continuing them
Prompting and generation,prompt,istem ◆,*prompt* dominant in practice
Prompting and generation,temperature,sıcaklık,
Prompting and generation,thinking budget,düşünme bütçesi,"a cap on tokens spent inside the reasoning block; hitting it does not cancel the request, it forces an answer out of an unfinished trace"
Prompting and generation,verbalised confidence,sözel güven,a 0-100 number the model writes out as text rather than a probability read off its scores; it can be right on average and still separate nothing
Prompting and generation,zero-shot classification,sıfır atışlı sınıflandırma,"labelling from an instruction alone; there is no threshold to move, because the model returns a word rather than a score"
Prompting practice,demonstration,örnek gösterim,an input-output pair placed in the prompt; the unit few-shot prompting is built from
Prompting practice,format sensitivity,biçim duyarlılığı,the score changing when the prompt's layout changes but its meaning does not; the reason a single-prompt model comparison is unreliable
Prompting practice,prompt template,istem şablonu,"the fixed scaffolding a prompt is built from, with slots for the input; the thing to version, not the assembled string"
Decoding and structured output,abstention,çekimserlik,"refusing to answer when confidence is low, so the answers you do give are more reliable; needs a score to threshold on"
Decoding and structured output,constrained decoding,kısıtlı çözümleme,"masking the logits at each step to the tokens a grammar allows, so invalid output becomes unreachable rather than unlikely"
Decoding and structured output,logprob,log olasılık,"the log probability the model assigned to a token; the cheapest confidence signal available, and only interpretable when the answer is one token"
Decoding and structured output,min-p,min-p ◆,"a cutoff scaled to the top token's probability rather than to a fixed mass, so it adapts to how peaked the distribution is"
Retrieval,bi-encoder,çift kodlayıcı,"query and document encoded separately, so documents can be indexed ahead of time; the reason dense retrieval scales"
Retrieval,cross-encoder,çapraz kodlayıcı,"query and document read together in one forward pass; far more accurate and impossible to precompute, so it reranks rather than retrieves"
Retrieval,hard negative,zor negatif,a wrong document that looks right; training on these rather than random ones is most of what makes a dense retriever work
Retrieval,recall@k,recall@k ◆,did the right document appear in the top k at all; the ceiling everything downstream inherits
Retrieval,reciprocal rank fusion (RRF),karşılıklı sıra birleştirme,"combine ranked lists by summing 1/(k+rank); a variance-reduction trick for comparable systems, and a way to lose accuracy when they are not"
RAG,chunk,parça,"the unit you index and retrieve; a modelling decision rather than a preprocessing detail, because it sets what can be retrieved at all"
RAG,grounding,dayandırma,answering from the retrieved text rather than from the model's own memory; separate from whether the retrieval was right
RAG,lost in the middle,ortada kaybolmak,"a model using the beginning and end of a long context better than its middle, so more context is not automatically more information"
"Retrieval, agents, and tools",agent,ajan / etmen,
"Retrieval, agents, and tools",chunking,parçalama,
"Retrieval, agents, and tools",function calling,fonksiyon çağırma,
"Retrieval, agents, and tools",reranking,yeniden sıralama,
"Retrieval, agents, and tools",retrieval-augmented generation,erişim destekli üretim ◆,*RAG* dominant
"Retrieval, agents, and tools",tool calling,araç çağırma,
"Retrieval, agents, and tools",vector database,vektör veritabanı,
Annotation and data quality,adjudication,uzlaştırma,a third pass that settles disagreements between two annotators
Annotation and data quality,annotation guideline,etiketleme kılavuzu,the written rules that make labels reproducible by someone else
Annotation and data quality,class imbalance,sınıf dengesizliği,"one label dominates, so accuracy stops carrying information"
Annotation and data quality,Cohen's kappa,Cohen kappa ◆,agreement corrected for how much chance alone would produce
Annotation and data quality,deduplication,tekilleştirme,removing near-identical documents; *yinelenen ayıklama* also seen
Annotation and data quality,gold standard,altın standart,the labels treated as correct when scoring a model
Annotation and data quality,inter-annotator agreement (IAA),etiketleyiciler arası uyum,how often two annotators independently pick the same label
Annotation and data quality,label leakage,etiket sızıntısı,a feature that encodes the answer; inflates scores until deployment
Annotation and data quality,label noise,etiket gürültüsü,labels that disagree with the text they describe; concentrates at the top of a confidence-sorted error list
Annotation and data quality,model card,model kartı,the short document stating what a model was trained on and where not to use it
Sequence labeling and extraction,BIO tagging,BIO etiketleme,"B marks a span's first token, I its continuation, O everything else; the scheme that turns spans into per-token labels"
Sequence labeling and extraction,entity linking,varlık bağlama,mapping a mention to a canonical id; distinct from recognising that the mention is an entity at all
Sequence labeling and extraction,gazetteer,varlık sözlüğü,"a memorised list of known entity strings; a strong, dumb baseline and a poor generaliser"
Sequence labeling and extraction,named entity recognition (NER),adlandırılmış varlık tanıma ◆,"*NER* dominant in practice; finding and typing mentions of people, organisations and places"
Sequence labeling and extraction,nested entity,iç içe varlık,"a span inside another span; BIO cannot represent it, which is why span-based decoders exist"
Sequence labeling and extraction,relation extraction,ilişki çıkarımı,classifying the relation that holds between two already-identified mentions
Sequence labeling and extraction,span-level F1,aralık düzeyinde F1,"a prediction counts only if type, start and end all match; the metric token accuracy hides"
Sequence labeling and extraction,token classification,token sınıflandırma,"one label per token; the architecture NER, POS tagging and chunking all share"
Sequence labeling and extraction,Viterbi decoding,Viterbi çözümlemesi ◆,picks the highest-scoring whole label sequence rather than the best label at each position independently
Summarization and generation,abstractive summarization,soyutlayıcı özetleme,"the summary is generated, so it can use words the source never used -- and assert facts it never contained"
Summarization and generation,coverage / density,kapsam / yoğunluk,"how much of a summary is copied from its source, and in how long a stretch; characterises a corpus before any model sees it"
Summarization and generation,extractive summarization,çıkarımsal özetleme,"the summary is a selection of source sentences, so it cannot hallucinate and cannot compress"
Summarization and generation,faithfulness,kaynağa sadakat,"whether a summary asserts only what the source supports; separate from whether it reads well, and invisible to n-gram overlap"
Summarization and generation,lead-3,lead-3 ◆,the first three sentences as a summary; a baseline that beats trained models on some corpora and not others -- measure before assuming
Summarization and generation,LLM-as-judge,LLM'in hakemliği,"scoring generated text with another model; carries position, length and self-preference biases that must be measured, not assumed away"
Summarization and generation,ROUGE,ROUGE ◆,"n-gram overlap against a reference summary; rewards copying, blind to faithfulness, and dependent on a tokenizer that mangles Turkish"
Machine translation,back-translation,geri çeviri,translate monolingual target text back into the source to manufacture training pairs; the resource that exists when parallel data does not
Machine translation,beam search,ışın araması,"keep the k best partial outputs at each step; standard in translation, and actively harmful in open-ended generation"
Machine translation,BLEU,BLEU ◆,"word n-gram precision against a reference, with a brevity penalty; harsher on morphologically rich languages for a measurable reason"
Machine translation,chrF,chrF ◆,"the same idea at the character level, which gives partial credit for a word whose stem is right and whose suffix is wrong"
Machine translation,COMET,COMET ◆,"a learned metric: a model trained to predict human judgements, so it inherits whatever the training data contained"
Machine translation,translate-test,çeviri ile test,"translate incoming text into the model's language at inference; cheap to build, and every translation error is now a model error"
Machine translation,translate-train,çeviri ile eğitim,translate training data into the target language and train there; pays the translation cost once instead of per request
Turkish and morphology,deasciification,şapka düzeltme / harf onarımı,restoring Turkish diacritics to text typed without them; the alternative -- stripping them everywhere -- merges *oldu* with *öldü*
Turkish and morphology,dotted and dotless i,noktalı ve noktasız i,İ/i and I/ı are four distinct letters; str.lower() gets the mapping wrong in both directions and emits a combining mark that splits words
Turkish and morphology,vowel harmony,ünlü uyumu,"the stem's vowels decide which form each suffix takes, which is why one grammatical ending has four or eight spellings"
Evaluation and serving,average precision (AP),ortalama kesinlik (AP) ◆,"area under the precision-recall curve; unlike AUC it moves with the class balance, so quote the base rate beside it"
Evaluation and serving,base rate,taban oran,the share of a corpus that belongs to a class; also the accuracy a model that always guesses the majority achieves
Evaluation and serving,benchmark,kıyaslama ◆,*benchmark* dominant
Evaluation and serving,bias (in a model or corpus),yanlılık,"not *önyargı*, which is the psychological sense"
Evaluation and serving,Brier score,Brier skoru ◆,mean squared error of a predicted probability; rewards a model for being right *and* honest about it
Evaluation and serving,calibration,kalibrasyon,"whether a score of 0.8 really means ""right about 80% of the time""; a separate property from accuracy"
Evaluation and serving,confusion matrix,hata matrisi / karışıklık matrisi,"the four counts — TP, FP, FN, TN — that every classification metric is computed from"
Evaluation and serving,decision threshold,karar eşiği,"the cut that turns a score into a label; a free parameter you choose on held-out data, not a property of the model"
Evaluation and serving,evaluation,değerlendirme,
Evaluation and serving,expected calibration error (ECE),beklenen kalibrasyon hatası ◆,average gap between confidence and observed accuracy across bins; always say whether you binned on the top label
Evaluation and serving,F1 score / macro-F1,F1 skoru / makro-F1 ◆,"harmonic mean of precision and recall; *macro* averages over classes, so a rare class counts as much as a common one"
Evaluation and serving,FLOP,FLOP ◆,one floating-point operation; the unit training compute is counted in
Evaluation and serving,inference,çıkarım,
Evaluation and serving,intrinsic / extrinsic evaluation,içsel / dışsal değerlendirme,benchmark vs. downstream task
Evaluation and serving,latency,gecikme,
Evaluation and serving,Matthews correlation coefficient (MCC),Matthews korelasyon katsayısı ◆,a balanced single number for a confusion matrix; gives every degenerate baseline exactly 0
Evaluation and serving,model FLOPs utilization (MFU),model FLOP kullanımı ◆,share of a chip's peak throughput a real run actually achieves
Evaluation and serving,precision,kesinlik,"of the items the model flagged, the share it got right"
Evaluation and serving,quantization,nicemleme,
Evaluation and serving,recall,duyarlılık,"of the items it should have flagged, the share it actually found"
Evaluation and serving,ROC curve / AUC,ROC eğrisi / AUC ◆,recall against false-positive rate; on an imbalanced corpus it looks flattering because the denominator is the large class
Evaluation and serving,throughput,işlem hacmi / verimlilik,
Multimodal,contrastive pretraining,karşıtsal ön-eğitim,training image and text encoders so matching pairs land close and mismatched pairs land apart; the captions are the supervision
Multimodal,optical character recognition (OCR),optik karakter tanıma,"turning an image of text into text; a dedicated engine fails visibly, a VLM fails fluently"
Multimodal,patch embedding,yama gömmesi,"an image cut into fixed squares, each projected to the model's hidden size, so a picture becomes a sequence a transformer can read"
Multimodal,vision-language model (VLM),görme-dil modeli,"a language model with a vision encoder attached, so images and text share one sequence; reads pages, charts and photographs"
Evaluation,benchmark contamination,ölçüt bulaşması,"test items that were in a model's training data, so the score reports memorisation rather than capability"
Evaluation,position bias,konum yanlılığı,a judge preferring whichever candidate it was shown first; measured by running the same comparison in both orders and counting the flips
Evaluation,statistical power,istatistiksel güç,the probability that an evaluation detects a real difference of a given size; what decides how many items an eval set needs
Agents,agent loop,ajan döngüsü,"a while-loop around a model with tools: the model chooses an action, the runtime executes it, the result is appended, repeat until the model stops calling tools"
Agents,code mode,kod kipi,"giving an agent a sandboxed interpreter instead of a fixed tool list, trading a readable whitelist for composability"
Agents,compaction,sıkıştırma,"summarising or dropping parts of an agent's transcript so the context stops growing; lossy, and you choose the loss before knowing what will be needed"
Agents,context isolation,bağlam yalıtımı,"running a read-heavy sub-task in its own window and returning only its conclusion, so the parent never pays for what it read"
Agents,effective context length,etkin bağlam uzunluğu,"the length at which a model still performs, as opposed to the length it accepts; routinely far shorter than the advertised window"
Agents,parallel tool calling,paralel araç çağırma,"a model emitting several tool calls in one turn, which collapses many loop iterations into one and is the largest single lever on agent cost"
Agents,progressive disclosure,kademeli açılım,"loading only the tool definitions relevant to a step instead of all of them, so a large tool surface does not tax every call"
Agents,step cap,adım bütçesi,the maximum number of loop iterations; not a tuning parameter but an admission that the loop's exit is a model decision and may never be taken
Agents,tool call,araç çağrısı,"a structured request the model emits — a function name and arguments — which the runtime, not the model, decides whether to execute"
Agents,tool schema,araç şeması,"the name, description, types and enums a model sees; prompt text rather than documentation, because the model gets one shot from it and cannot check a guess"
